Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C2, C21, C3, C6",0402,6,4.7u,
"C10, C11, C12, C13, C14, C15, C16, C17, C7, C8, C9",0402,11,100n,
"C19, C20",0603,2,10u,
"C4, C5",0402,2,33p,
D1,0603,1,LED,
J1,USBPCB,1,USB_A,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,AOTA,C42411119
R1,0402,1,33,
"R2, R3",0402,2,27R,
"R4, R5, R6",0402,3,1k,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,SW_Push,
U1,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,
U2,X2SON-4_L1.0-W1.0-P0.65-TL-EP,1,TLV75512PDQNR,C2867150
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
